Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,50.54,50.95,49.43,49.87,3127625.0,0.0,1.0,50.54,50.95,49.43,49.87,3127625.0
2018-03-26,50.4,50.51,49.18,50.48,2646329.0,0.0,1.0,50.4,50.51,49.18,50.48,2646329.0
2018-03-23,50.73,50.99,49.385,49.46,4410942.0,0.0,1.0,50.73,50.99,49.385,49.46,4410942.0
2018-03-22,49.93,51.01,49.68,50.1,3485358.0,0.0,1.0,49.93,51.01,49.68,50.1,3485358.0
2018-03-21,48.88,51.195,48.83,50.69,3635526.0,0.0,1.0,48.88,51.195,48.83,50.69,3635526.0
2018-03-20,47.35,48.77,47.3,48.39,2417663.0,0.0,1.0,47.35,48.77,47.3,48.39,2417663.0
2018-03-19,48.73,48.95,46.6357,46.96,3560773.0,0.0,1.0,48.73,48.95,46.6357,46.96,3560773.0
2018-03-16,48.39,49.56,47.79,48.98,4721973.0,0.0,1.0,48.39,49.56,47.79,48.98,4721973.0
2018-03-15,49.0,49.52,48.15,48.86,3538697.0,0.0,1.0,49.0,49.52,48.15,48.86,3538697.0
2018-03-14,48.57,49.21,48.28,48.57,2657637.0,0.0,1.0,48.57,49.21,48.28,48.57,2657637.0
2018-03-13,49.18,49.6,48.25,48.4,4777739.0,0.0,1.0,49.18,49.6,48.25,48.4,4777739.0
2018-03-12,48.25,49.4,48.17,48.65,3065265.0,0.0,1.0,48.25,49.4,48.17,48.65,3065265.0
2018-03-09,47.35,48.54,47.14,48.46,4412875.0,0.0,1.0,47.35,48.54,47.14,48.46,4412875.0
2018-03-08,47.21,47.33,46.01,46.7,4880844.0,0.0,1.0,47.21,47.33,46.01,46.7,4880844.0
2018-03-07,47.78,48.32,45.89,46.48,3999845.0,0.0,1.0,47.78,48.32,45.89,46.48,3999845.0
2018-03-06,48.71,49.22,48.1145,48.48,4532307.0,0.0,1.0,48.71,49.22,48.1145,48.48,4532307.0
2018-03-05,46.48,48.715,46.33,48.44,5796137.0,0.0,1.0,46.48,48.715,46.33,48.44,5796137.0
2018-03-02,45.13,46.75,44.21,46.68,3981591.0,0.0,1.0,45.13,46.75,44.21,46.68,3981591.0
2018-03-01,45.36,46.56,45.27,45.67,5393923.0,0.0,1.0,45.36,46.56,45.27,45.67,5393923.0
2018-02-28,47.16,47.575,45.39,45.42,4125384.0,0.0,1.0,47.16,47.575,45.39,45.42,4125384.0
2018-02-27,47.51,48.66,46.455,46.47,4405772.0,0.0,1.0,47.51,48.66,46.455,46.47,4405772.0
2018-02-26,48.37,48.47,47.41,47.78,4778637.0,0.0,1.0,48.37,48.47,47.41,47.78,4778637.0
2018-02-23,47.15,47.955,46.94,47.87,4401434.0,0.0,1.0,47.15,47.955,46.94,47.87,4401434.0
2018-02-22,45.49,47.269,45.35,47.08,5403183.0,0.0,1.0,45.49,47.269,45.35,47.08,5403183.0
2018-02-21,45.52,46.4,44.95,45.23,5532063.0,0.0,1.0,45.52,46.4,44.95,45.23,5532063.0
2018-02-20,45.75,46.53,45.641,45.84,4424421.0,0.0,1.0,45.75,46.53,45.641,45.84,4424421.0
2018-02-16,45.12,46.13,44.86,45.65,4392022.0,0.0,1.0,45.12,46.13,44.86,45.65,4392022.0
2018-02-15,45.28,45.56,43.5,45.53,4645946.0,0.0,1.0,45.28,45.56,43.5,45.53,4645946.0
2018-02-14,42.34,45.59,42.01,45.37,6238222.0,0.0,1.0,42.34,45.59,42.01,45.37,6238222.0
2018-02-13,43.57,43.85,42.58,42.8,4839536.0,0.0,1.0,43.57,43.85,42.58,42.8,4839536.0
2018-02-12,42.95,44.73,42.51,44.14,6799952.0,0.0,1.0,42.95,44.73,42.51,44.14,6799952.0
2018-02-09,43.54,43.55,40.37,42.12,6559224.0,0.0,1.0,43.54,43.55,40.37,42.12,6559224.0
