Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,95.6,96.3499,92.79,93.62,2010765.0,0.0,1.0,95.6,96.3499,92.79,93.62,2010765.0
2018-03-26,94.11,95.24,92.66,95.07,2847826.0,0.0,1.0,94.11,95.24,92.66,95.07,2847826.0
2018-03-23,94.96,95.6,92.39,92.39,3141657.0,0.0,1.0,94.96,95.6,92.39,92.39,3141657.0
2018-03-22,97.0,97.4,94.35,94.65,2284004.0,0.0,1.0,97.0,97.4,94.35,94.65,2284004.0
2018-03-21,98.78,99.84,98.03,98.18,1350618.0,0.0,1.0,98.78,99.84,98.03,98.18,1350618.0
2018-03-20,98.94,99.52,98.36,98.67,1253807.0,0.0,1.0,98.94,99.52,98.36,98.67,1253807.0
2018-03-19,99.04,99.36,97.131,98.65,1615005.0,0.0,1.0,99.04,99.36,97.131,98.65,1615005.0
2018-03-16,98.32,100.34,98.09,99.36,2682744.0,0.0,1.0,98.32,100.34,98.09,99.36,2682744.0
2018-03-15,97.84,99.25,97.61,98.05,1925153.0,0.0,1.0,97.84,99.25,97.61,98.05,1925153.0
2018-03-14,99.46,99.6,96.69,97.2,1913363.0,0.0,1.0,99.46,99.6,96.69,97.2,1913363.0
2018-03-13,101.03,101.4425,98.43,98.82,2099789.0,0.0,1.0,101.03,101.4425,98.43,98.82,2099789.0
2018-03-12,100.76,101.19,100.145,100.46,1744744.0,0.0,1.0,100.76,101.19,100.145,100.46,1744744.0
2018-03-09,99.01,100.9,98.91,100.79,1873758.0,0.0,1.0,99.01,100.9,98.91,100.79,1873758.0
2018-03-08,98.22,98.39,96.63,98.15,2012529.0,0.0,1.0,98.22,98.39,96.63,98.15,2012529.0
2018-03-07,96.71,97.81,96.24,97.63,2099606.0,0.0,1.0,96.71,97.81,96.24,97.63,2099606.0
2018-03-06,98.47,98.47,96.58,98.04,1768625.0,0.0,1.0,98.47,98.47,96.58,98.04,1768625.0
2018-03-05,96.06,98.18,95.6,97.9,2321744.0,0.0,1.0,96.06,98.18,95.6,97.9,2321744.0
2018-03-02,95.86,96.91,94.2683,96.72,1878647.0,0.0,1.0,95.86,96.91,94.2683,96.72,1878647.0
2018-03-01,98.01,99.1,95.87,96.51,2135884.0,0.0,1.0,98.01,99.1,95.87,96.51,2135884.0
