Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,215.81,217.0,211.72,213.02,1340246.0,0.0,1.0,215.81,217.0,211.72,213.02,1340246.0
2018-03-26,212.97,215.6,211.08,215.25,1088172.0,0.0,1.0,212.97,215.6,211.08,215.25,1088172.0
2018-03-23,214.14,215.21,210.39,210.6,1752687.0,0.0,1.0,214.14,215.21,210.39,210.6,1752687.0
2018-03-22,217.45,219.31,213.15,213.25,1011448.0,0.0,1.0,217.45,219.31,213.15,213.25,1011448.0
2018-03-21,220.4,220.66,217.91,218.5,753496.0,0.0,1.0,220.4,220.66,217.91,218.5,753496.0
2018-03-20,220.25,221.085,218.95,219.9,672712.0,0.0,1.0,220.25,221.085,218.95,219.9,672712.0
2018-03-19,223.21,223.55,218.07,219.53,1043767.0,0.0,1.0,223.21,223.55,218.07,219.53,1043767.0
2018-03-16,224.39,225.0,223.2,223.27,1371346.0,0.0,1.0,224.39,225.0,223.2,223.27,1371346.0
2018-03-15,223.97,226.02,222.96,224.15,850121.0,0.0,1.0,223.97,226.02,222.96,224.15,850121.0
2018-03-14,224.56,224.93,222.17,223.52,1310315.0,0.0,1.0,224.56,224.93,222.17,223.52,1310315.0
2018-03-13,226.98,227.08,223.6,223.85,948272.0,0.0,1.0,226.98,227.08,223.6,223.85,948272.0
2018-03-12,227.5,227.8,225.24,225.5,1026275.0,0.0,1.0,227.5,227.8,225.24,225.5,1026275.0
2018-03-09,224.46,227.245,222.4901,226.12,1326483.0,0.0,1.0,224.46,227.245,222.4901,226.12,1326483.0
2018-03-08,218.92,224.0,218.91,223.44,1109688.0,0.0,1.0,218.92,224.0,218.91,223.44,1109688.0
2018-03-07,215.64,219.5,215.6,219.1,1012316.0,0.0,1.0,214.918602971,218.765689817,214.878736786,218.367027967,1012316.0
2018-03-06,217.92,219.42,215.26,216.96,1461844.0,0.0,1.0,217.190975512,218.685957447,214.539874214,216.234187073,1461844.0
2018-03-05,217.0,218.41,215.26,217.27,1777742.0,0.0,1.0,216.274053258,217.679336277,214.539874214,216.543150007,1777742.0
2018-03-02,216.62,218.73,216.19,217.65,1014101.0,0.0,1.0,215.895324502,217.998265757,215.466763014,216.921878764,1014101.0
