Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,210.36,210.92,205.23,206.62,1350298.0,0.0,1.0,210.36,210.92,205.23,206.62,1350298.0
2018-03-26,207.57,210.15,204.96,209.68,1030715.0,0.0,1.0,207.57,210.15,204.96,209.68,1030715.0
2018-03-23,207.79,209.66,204.27,204.65,1557776.0,0.0,1.0,207.79,209.66,204.27,204.65,1557776.0
2018-03-22,211.0,212.4,206.52,207.33,1584868.0,0.0,1.0,211.0,212.4,206.52,207.33,1584868.0
2018-03-21,214.78,215.37,212.84,212.96,1022617.0,0.0,1.0,214.78,215.37,212.84,212.96,1022617.0
2018-03-20,212.89,215.55,211.91,214.72,1509778.0,0.0,1.0,212.89,215.55,211.91,214.72,1509778.0
2018-03-19,210.78,212.55,209.11,211.72,1672854.0,0.0,1.0,210.78,212.55,209.11,211.72,1672854.0
2018-03-16,212.61,213.385,210.26,210.44,2384690.0,0.0,1.0,212.61,213.385,210.26,210.44,2384690.0
2018-03-15,212.52,215.19,212.16,212.45,1173038.0,0.0,1.0,212.52,215.19,212.16,212.45,1173038.0
2018-03-14,215.42,216.65,212.86,213.46,1244262.0,0.0,1.0,215.42,216.65,212.86,213.46,1244262.0
2018-03-13,219.13,219.67,214.9,215.12,1471330.0,0.0,1.0,219.13,219.67,214.9,215.12,1471330.0
2018-03-12,218.7,219.94,216.93,217.49,2260772.0,0.0,1.0,218.7,219.94,216.93,217.49,2260772.0
2018-03-09,213.25,218.08,212.36,217.89,1583686.0,0.0,1.0,213.25,218.08,212.36,217.89,1583686.0
2018-03-08,212.7,212.73,210.01,211.7,822110.0,0.0,1.0,212.7,212.73,210.01,211.7,822110.0
2018-03-07,207.34,212.46,207.34,212.16,1225472.0,0.0,1.0,207.34,212.46,207.34,212.16,1225472.0
2018-03-06,208.07,210.33,206.66,210.12,994367.0,0.0,1.0,208.07,210.33,206.66,210.12,994367.0
