Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,151.51,151.81,147.28,150.46,3341989.0,0.0,1.0,151.51,151.81,147.28,150.46,3341989.0
2018-03-26,152.79,153.54,151.77,153.32,1474498.0,0.0,1.0,152.79,153.54,151.77,153.32,1474498.0
2018-03-23,152.8,154.63,151.38,151.73,1754211.0,0.0,1.0,152.8,154.63,151.38,151.73,1754211.0
2018-03-22,153.94,155.21,152.41,152.53,1796572.0,0.0,1.0,153.94,155.21,152.41,152.53,1796572.0
2018-03-21,154.86,155.65,153.32,154.34,1176364.0,0.0,1.0,154.86,155.65,153.32,154.34,1176364.0
2018-03-20,155.69,156.8,154.19,154.58,1299217.0,0.0,1.0,155.69,156.8,154.19,154.58,1299217.0
2018-03-19,157.31,157.31,154.15,155.43,1265457.0,0.0,1.0,157.31,157.31,154.15,155.43,1265457.0
2018-03-16,156.5,158.05,156.05,157.13,2039132.0,0.0,1.0,156.5,158.05,156.05,157.13,2039132.0
2018-03-15,158.52,159.165,155.79,156.6,1784708.0,0.0,1.0,158.52,159.165,155.79,156.6,1784708.0
2018-03-14,158.26,159.32,157.02,158.49,2496969.0,0.0,1.0,158.26,159.32,157.02,158.49,2496969.0
2018-03-13,157.13,159.27,156.035,157.47,1398985.0,0.0,1.0,157.13,159.27,156.035,157.47,1398985.0
2018-03-12,156.72,157.8,156.11,156.74,2019966.0,0.0,1.0,156.72,157.8,156.11,156.74,2019966.0
2018-03-09,156.14,156.79,154.15,156.57,1373403.0,0.0,1.0,156.14,156.79,154.15,156.57,1373403.0
2018-03-08,156.18,157.05,155.17,156.28,1114694.0,0.0,1.0,156.18,157.05,155.17,156.28,1114694.0
2018-03-07,156.68,158.49,155.26,155.92,1461896.0,0.0,1.0,156.68,158.49,155.26,155.92,1461896.0
2018-03-06,156.75,158.18,156.03,157.63,1472017.0,0.0,1.0,156.75,158.18,156.03,157.63,1472017.0
