Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,49.05,49.05,47.16,47.45,3077422.0,0.0,1.0,49.05,49.05,47.16,47.45,3077422.0
2018-03-26,48.74,49.1,47.91,48.88,1762684.0,0.0,1.0,48.74,49.1,47.91,48.88,1762684.0
2018-03-23,49.05,49.79,48.08,48.22,2223317.0,0.0,1.0,49.05,49.79,48.08,48.22,2223317.0
2018-03-22,48.98,49.5,48.73,48.77,1850514.0,0.0,1.0,48.98,49.5,48.73,48.77,1850514.0
2018-03-21,48.66,49.83,48.32,49.54,1722740.0,0.0,1.0,48.66,49.83,48.32,49.54,1722740.0
2018-03-20,49.01,49.25,48.39,48.51,1886036.0,0.0,1.0,49.01,49.25,48.39,48.51,1886036.0
2018-03-19,49.45,50.14,48.295,48.64,2031697.0,0.0,1.0,49.45,50.14,48.295,48.64,2031697.0
2018-03-16,49.84,50.76,49.43,50.45,3696231.0,0.0,1.0,49.84,50.76,49.43,50.45,3696231.0
2018-03-15,51.5,52.17,48.595,49.73,7586814.0,0.0,1.0,51.5,52.17,48.595,49.73,7586814.0
2018-03-14,52.9,52.99,52.18,52.45,2768707.0,0.0,1.0,52.9,52.99,52.18,52.45,2768707.0
2018-03-13,52.41,52.8785,51.99,52.66,2264910.0,0.0,1.0,52.41,52.8785,51.99,52.66,2264910.0
2018-03-12,52.61,52.64,51.72,52.2,1999376.0,0.0,1.0,52.61,52.64,51.72,52.2,1999376.0
2018-03-09,51.22,52.84,51.22,52.44,2253310.0,0.0,1.0,51.22,52.84,51.22,52.44,2253310.0
2018-03-08,51.49,51.6,50.63,51.07,1797221.0,0.0,1.0,51.49,51.6,50.63,51.07,1797221.0
2018-03-07,51.27,52.17,50.785,51.35,2166267.0,0.0,1.0,51.27,52.17,50.785,51.35,2166267.0
2018-03-06,52.3,52.61,51.58,51.82,3772530.0,0.0,1.0,52.3,52.61,51.58,51.82,3772530.0
2018-03-05,50.28,52.16,50.28,51.89,3534025.0,0.0,1.0,50.28,52.16,50.28,51.89,3534025.0
2018-03-02,49.73,50.47,48.8,50.32,4071183.0,0.0,1.0,49.73,50.47,48.8,50.32,4071183.0
