Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,16.39,16.4,15.71,15.82,10396805.0,0.0,1.0,16.39,16.4,15.71,15.82,10396805.0
2018-03-26,16.03,16.3,15.83,16.27,13236862.0,0.0,1.0,16.03,16.3,15.83,16.27,13236862.0
2018-03-23,15.88,16.36,15.7,15.76,11868087.0,0.0,1.0,15.88,16.36,15.7,15.76,11868087.0
2018-03-22,16.08,16.15,15.68,15.84,11351307.0,0.0,1.0,16.08,16.15,15.68,15.84,11351307.0
2018-03-21,15.38,16.415,15.3,16.32,16347848.0,0.0,1.0,15.38,16.415,15.3,16.32,16347848.0
2018-03-20,14.98,15.37,14.95,15.26,12112251.0,0.0,1.0,14.98,15.37,14.95,15.26,12112251.0
2018-03-19,15.05,15.19,14.72,14.85,9562580.0,0.0,1.0,15.05,15.19,14.72,14.85,9562580.0
2018-03-16,14.97,15.32,14.9048,15.12,18731664.0,0.0,1.0,14.97,15.32,14.9048,15.12,18731664.0
2018-03-15,14.93,15.035,14.76,14.91,10794209.0,0.0,1.0,14.93,15.035,14.76,14.91,10794209.0
2018-03-14,14.95,15.03,14.8,14.87,12222708.0,0.0,1.0,14.95,15.03,14.8,14.87,12222708.0
2018-03-13,15.22,15.24,14.74,14.82,15709993.0,0.0,1.0,15.22,15.24,14.74,14.82,15709993.0
2018-03-12,15.13,15.405,15.021,15.09,10087426.0,0.0,1.0,15.13,15.405,15.021,15.09,10087426.0
2018-03-09,14.92,15.25,14.9,15.22,8530507.0,0.0,1.0,14.92,15.25,14.9,15.22,8530507.0
2018-03-08,14.86,14.93,14.62,14.83,10534691.0,0.0,1.0,14.86,14.93,14.62,14.83,10534691.0
2018-03-07,14.84,15.02,14.605,14.8,8609635.0,0.0,1.0,14.84,15.02,14.605,14.8,8609635.0
2018-03-06,15.26,15.32,15.0,15.03,9009582.0,0.0,1.0,15.26,15.32,15.0,15.03,9009582.0
2018-03-05,14.82,15.23,14.78,15.15,12024009.0,0.0,1.0,14.82,15.23,14.78,15.15,12024009.0
