Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,92.81,93.74,90.87,91.42,4306212.0,0.0,1.0,92.81,93.74,90.87,91.42,4306212.0
2018-03-26,91.37,92.99,90.8,92.62,2716927.0,0.0,1.0,91.37,92.99,90.8,92.62,2716927.0
2018-03-23,91.82,92.36,90.41,90.45,5028935.0,0.0,1.0,91.82,92.36,90.41,90.45,5028935.0
2018-03-22,93.74,93.96,91.12,91.41,4043689.0,0.0,1.0,93.74,93.96,91.12,91.41,4043689.0
2018-03-21,94.62,96.27,94.4,94.74,2123354.0,0.0,1.0,94.62,96.27,94.4,94.74,2123354.0
2018-03-20,95.35,95.65,94.72,94.95,2418758.0,0.0,1.0,95.35,95.65,94.72,94.95,2418758.0
2018-03-19,95.44,95.48,93.8,94.84,2476373.0,0.0,1.0,95.44,95.48,93.8,94.84,2476373.0
2018-03-16,94.55,96.39,94.27,95.61,5077476.0,0.0,1.0,94.55,96.39,94.27,95.61,5077476.0
2018-03-15,95.06,95.41,93.96,94.39,3200089.0,0.0,1.0,95.06,95.41,93.96,94.39,3200089.0
2018-03-14,95.96,96.17,94.09,94.53,2971877.0,0.0,1.0,95.96,96.17,94.09,94.53,2971877.0
2018-03-13,98.12,98.23,95.08,95.37,4810020.0,0.0,1.0,98.12,98.23,95.08,95.37,4810020.0
2018-03-12,99.09,99.6995,97.48,97.67,3854156.0,0.0,1.0,99.09,99.6995,97.48,97.67,3854156.0
2018-03-09,97.58,99.11,97.06,99.05,2985912.0,0.0,1.0,97.58,99.11,97.06,99.05,2985912.0
2018-03-08,96.05,96.675,95.09,96.59,3714152.0,0.0,1.0,96.05,96.675,95.09,96.59,3714152.0
2018-03-07,95.21,95.73,94.28,95.64,3594855.0,0.0,1.0,95.21,95.73,94.28,95.64,3594855.0
2018-03-06,96.99,96.99,95.14,96.07,3202747.0,0.0,1.0,96.99,96.99,95.14,96.07,3202747.0
2018-03-05,95.09,97.29,94.7,96.66,2661437.0,0.0,1.0,95.09,97.29,94.7,96.66,2661437.0
2018-03-02,94.63,95.75,93.2,95.6,3584668.0,0.0,1.0,94.63,95.75,93.2,95.6,3584668.0
2018-03-01,97.82,98.3,94.53,95.14,4369841.0,0.0,1.0,97.82,98.3,94.53,95.14,4369841.0
2018-02-28,100.04,100.36,97.43,97.51,4030945.0,0.0,1.0,100.04,100.36,97.43,97.51,4030945.0
2018-02-27,101.66,102.12,99.58,99.58,5148216.0,0.0,1.0,101.66,102.12,99.58,99.58,5148216.0
2018-02-26,99.43,101.675,98.97,101.64,4923683.0,0.0,1.0,99.43,101.675,98.97,101.64,4923683.0
2018-02-23,97.78,98.84,97.55,98.8,2404743.0,0.0,1.0,97.78,98.84,97.55,98.8,2404743.0
2018-02-22,97.59,98.0715,97.05,97.35,3945144.0,0.0,1.0,97.59,98.0715,97.05,97.35,3945144.0
2018-02-21,96.92,98.49,96.75,97.5,4327928.0,0.0,1.0,96.92,98.49,96.75,97.5,4327928.0
2018-02-20,96.58,97.71,96.5,97.19,3502764.0,0.0,1.0,96.58,97.71,96.5,97.19,3502764.0
2018-02-16,96.37,97.49,96.25,96.79,3270966.0,0.0,1.0,96.37,97.49,96.25,96.79,3270966.0
2018-02-15,97.06,97.21,95.44,96.56,3049423.0,0.0,1.0,97.06,97.21,95.44,96.56,3049423.0
2018-02-14,93.97,96.56,93.67,96.23,3241579.0,0.0,1.0,93.97,96.56,93.67,96.23,3241579.0
2018-02-13,94.03,94.81,92.8201,94.56,3319734.0,0.0,1.0,94.03,94.81,92.8201,94.56,3319734.0
2018-02-12,92.58,95.675,92.42,94.7,7347430.0,0.0,1.0,92.58,95.675,92.42,94.7,7347430.0
2018-02-09,89.47,92.52,87.54,91.72,8006447.0,0.0,1.0,89.47,92.52,87.54,91.72,8006447.0
