Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,137.41,138.648,136.04,136.7,1621778.0,0.0,1.0,137.41,138.648,136.04,136.7,1621778.0
2018-03-26,136.09,137.56,135.21,137.02,1429608.0,0.0,1.0,136.09,137.56,135.21,137.02,1429608.0
2018-03-23,137.72,138.19,134.38,134.57,1913561.0,0.0,1.0,137.72,138.19,134.38,134.57,1913561.0
2018-03-22,139.63,140.625,137.38,137.64,1542574.0,0.0,1.0,139.63,140.625,137.38,137.64,1542574.0
2018-03-21,141.68,141.75,140.22,140.26,1068015.0,0.0,1.0,141.68,141.75,140.22,140.26,1068015.0
2018-03-20,140.85,142.0278,139.63,141.32,1161158.0,0.0,1.0,140.85,142.0278,139.63,141.32,1161158.0
2018-03-19,140.81,141.5,139.47,140.3,1404363.0,0.0,1.0,140.81,141.5,139.47,140.3,1404363.0
2018-03-16,141.17,142.54,140.23,140.98,2621297.0,0.0,1.0,141.17,142.54,140.23,140.98,2621297.0
2018-03-15,141.04,142.41,140.68,141.06,1372376.0,0.0,1.0,141.04,142.41,140.68,141.06,1372376.0
2018-03-14,142.7,142.7,140.19,140.76,1344699.0,0.0,1.0,142.7,142.7,140.19,140.76,1344699.0
2018-03-13,144.15,144.31,141.77,141.94,1293091.0,0.0,1.0,144.15,144.31,141.77,141.94,1293091.0
2018-03-12,144.19,145.08,142.17,143.09,1141693.0,0.0,1.0,144.19,145.08,142.17,143.09,1141693.0
2018-03-09,142.73,144.0,141.18,144.0,1562854.0,0.0,1.0,142.73,144.0,141.18,144.0,1562854.0
2018-03-08,140.76,142.3277,140.22,141.91,1192741.0,0.0,1.0,140.76,142.3277,140.22,141.91,1192741.0
2018-03-07,140.8,141.14,139.57,140.64,1462748.0,0.0,1.0,140.8,141.14,139.57,140.64,1462748.0
2018-03-06,141.75,142.22,140.4,141.93,1163312.0,0.0,1.0,141.75,142.22,140.4,141.93,1163312.0
2018-03-05,139.51,142.48,139.11,141.56,1357036.0,0.0,1.0,139.51,142.48,139.11,141.56,1357036.0
2018-03-02,139.04,140.02,137.49,139.86,1784650.0,0.0,1.0,139.04,140.02,137.49,139.86,1784650.0
2018-03-01,142.03,143.35,139.18,139.81,1377033.0,0.0,1.0,142.03,143.35,139.18,139.81,1377033.0
2018-02-28,144.68,145.67,141.83,141.92,1307567.0,0.0,1.0,144.68,145.67,141.83,141.92,1307567.0
2018-02-27,146.11,146.58,144.19,144.19,1737746.0,0.0,1.0,146.11,146.58,144.19,144.19,1737746.0
2018-02-26,144.19,146.6462,144.03,146.14,1800520.0,0.0,1.0,144.19,146.6462,144.03,146.14,1800520.0
2018-02-23,143.28,144.01,142.19,144.01,1317098.0,0.0,1.0,143.28,144.01,142.19,144.01,1317098.0
2018-02-22,144.0,145.285,142.72,143.07,1996686.0,0.0,1.0,144.0,145.285,142.72,143.07,1996686.0
2018-02-21,145.53,146.74,143.67,143.72,1578239.0,0.0,1.0,145.53,146.74,143.67,143.72,1578239.0
2018-02-20,146.89,147.66,144.54,145.44,1269385.0,0.0,1.0,146.89,147.66,144.54,145.44,1269385.0
2018-02-16,146.7,148.1,146.05,147.0,1511243.0,0.0,1.0,146.7,148.1,146.05,147.0,1511243.0
2018-02-15,147.72,148.58,146.28,147.07,1779725.0,0.0,1.0,147.72,148.58,146.28,147.07,1779725.0
2018-02-14,144.5,147.36,143.8,147.29,1985382.0,0.0,1.0,144.5,147.36,143.8,147.29,1985382.0
2018-02-13,143.76,145.52,143.36,145.12,1362247.0,0.0,1.0,143.76,145.52,143.36,145.12,1362247.0
2018-02-12,144.98,146.28,142.48,144.61,2172263.0,0.0,1.0,144.98,146.28,142.48,144.61,2172263.0
2018-02-09,141.66,145.59,140.09,144.52,3501373.0,0.0,1.0,141.66,145.59,140.09,144.52,3501373.0
2018-02-08,147.65,148.02,140.31,140.39,2239538.0,0.0,1.0,147.65,148.02,140.31,140.39,2239538.0
2018-02-07,145.6,149.64,144.8931,147.52,3097694.0,0.0,1.0,145.6,149.64,144.8931,147.52,3097694.0
2018-02-06,145.0,147.09,141.45,145.88,3331891.0,0.0,1.0,145.0,147.09,141.45,145.88,3331891.0
2018-02-05,152.99,153.66,146.57,147.35,2267036.0,0.0,1.0,152.99,153.66,146.57,147.35,2267036.0
2018-02-02,155.05,156.4405,153.1,153.25,1444631.0,0.0,1.0,155.05,156.4405,153.1,153.25,1444631.0
2018-02-01,155.84,156.9,154.58,155.48,2087090.0,0.0,1.0,155.84,156.9,154.58,155.48,2087090.0
2018-01-31,154.35,157.5,153.845,156.15,3336862.0,0.0,1.0,154.35,157.5,153.845,156.15,3336862.0
2018-01-30,153.94,155.55,152.93,153.06,2173206.0,0.0,1.0,153.94,155.55,152.93,153.06,2173206.0
2018-01-29,155.5,155.81,153.93,154.12,1241148.0,0.0,1.0,155.5,155.81,153.93,154.12,1241148.0
2018-01-26,154.96,155.91,154.25,155.8,1122241.0,0.0,1.0,154.96,155.91,154.25,155.8,1122241.0
2018-01-25,154.91,155.29,153.285,154.81,1492045.0,0.0,1.0,154.91,155.29,153.285,154.81,1492045.0
2018-01-24,153.16,155.38,152.57,154.98,2100552.0,0.0,1.0,153.16,155.38,152.57,154.98,2100552.0
2018-01-23,149.8,154.19,149.75,153.29,3016189.0,0.0,1.0,149.8,154.19,149.75,153.29,3016189.0
2018-01-22,148.54,149.82,148.39,149.79,1418863.0,0.0,1.0,148.54,149.82,148.39,149.79,1418863.0
2018-01-19,148.01,148.3,146.95,148.2,1468463.0,0.0,1.0,148.01,148.3,146.95,148.2,1468463.0
2018-01-18,147.55,148.31,146.43,147.69,1215637.0,0.0,1.0,147.55,148.31,146.43,147.69,1215637.0
2018-01-17,146.52,147.82,145.78,147.54,1724394.0,0.0,1.0,146.52,147.82,145.78,147.54,1724394.0
2018-01-16,145.96,146.17,144.68,145.67,1729174.0,0.0,1.0,145.96,146.17,144.68,145.67,1729174.0
2018-01-12,144.7,145.82,143.67,145.64,1351780.0,0.0,1.0,144.7,145.82,143.67,145.64,1351780.0
2018-01-11,145.23,145.88,143.85,144.5,1426875.0,0.0,1.0,145.23,145.88,143.85,144.5,1426875.0
2018-01-10,145.53,145.83,144.95,145.29,1500799.0,0.0,1.0,145.53,145.83,144.95,145.29,1500799.0
2018-01-09,143.74,146.22,142.86,145.85,2180334.0,0.0,1.0,143.74,146.22,142.86,145.85,2180334.0
2018-01-08,143.56,143.74,142.011,143.53,1435282.0,0.0,1.0,143.56,143.74,142.011,143.53,1435282.0
2018-01-05,144.36,144.96,142.78,144.26,1538219.0,0.0,1.0,144.36,144.96,142.78,144.26,1538219.0
2018-01-04,143.61,145.33,143.34,144.0,1690154.0,0.0,1.0,143.61,145.33,143.34,144.0,1690154.0
