Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,169.12,170.13,164.28,165.54,3599406.0,0.0,1.0,169.12,170.13,164.28,165.54,3599406.0
2018-03-26,165.01,168.87,164.11,168.68,3012447.0,0.0,1.0,165.01,168.87,164.11,168.68,3012447.0
2018-03-23,165.82,166.8399,164.0,164.0,3255962.0,0.0,1.0,165.82,166.8399,164.0,164.0,3255962.0
2018-03-22,166.09,167.45,164.82,165.34,4197413.0,0.0,1.0,166.09,167.45,164.82,165.34,4197413.0
2018-03-21,165.61,169.56,164.31,167.05,5417260.0,0.0,1.0,165.61,169.56,164.31,167.05,5417260.0
2018-03-20,166.93,167.26,164.36,165.0,3715823.0,0.0,1.0,166.93,167.26,164.36,165.0,3715823.0
2018-03-19,168.38,169.02,165.4725,166.44,3469245.0,0.0,1.0,168.38,169.02,165.4725,166.44,3469245.0
2018-03-16,167.8,169.172,166.77,168.67,3837483.0,0.0,1.0,167.8,169.172,166.77,168.67,3837483.0
2018-03-15,167.71,169.58,166.77,166.9,4274937.0,0.0,1.0,167.71,169.58,166.77,166.9,4274937.0
2018-03-14,164.72,167.62,163.6,166.88,4839951.0,0.0,1.0,164.72,167.62,163.6,166.88,4839951.0
2018-03-13,167.52,168.0,163.02,164.39,7178433.0,0.0,1.0,167.52,168.0,163.02,164.39,7178433.0
2018-03-12,173.57,173.6,167.05,167.31,8338961.0,0.0,1.0,173.57,173.6,167.05,167.31,8338961.0
2018-03-09,173.1,174.69,172.06,173.36,6101524.0,0.0,1.0,173.1,174.69,172.06,173.36,6101524.0
2018-03-08,182.21,182.57,171.06,172.0,17313649.0,0.0,1.0,182.21,182.57,171.06,172.0,17313649.0
2018-03-07,192.5,194.43,192.03,194.25,1276652.0,0.0,1.0,192.5,194.43,192.03,194.25,1276652.0
2018-03-06,192.81,194.31,190.96,194.13,1066996.0,0.0,1.0,192.81,194.31,190.96,194.13,1066996.0
2018-03-05,191.84,193.27,189.64,192.34,951732.0,0.0,1.0,191.84,193.27,189.64,192.34,951732.0
2018-03-02,192.79,193.69,191.18,193.06,884568.0,0.0,1.0,192.79,193.69,191.18,193.06,884568.0
2018-03-01,195.41,196.13,191.69,193.42,1735858.0,0.0,1.0,195.41,196.13,191.69,193.42,1735858.0
2018-02-28,196.71,198.83,195.87,195.89,2061398.0,0.0,1.0,196.71,198.83,195.87,195.89,2061398.0
2018-02-27,196.17,199.085,195.59,196.85,1214025.0,0.0,1.0,196.17,199.085,195.59,196.85,1214025.0
2018-02-26,195.28,196.83,194.11,195.88,962105.0,0.0,1.0,195.28,196.83,194.11,195.88,962105.0
2018-02-23,193.2,194.88,192.05,194.79,1088454.0,0.0,1.0,193.2,194.88,192.05,194.79,1088454.0
