Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,160.95,161.99,157.58,158.54,948255.0,0.0,1.0,160.95,161.99,157.58,158.54,948255.0
2018-03-26,159.74,160.4,158.01,160.4,1331937.0,0.0,1.0,159.74,160.4,158.01,160.4,1331937.0
2018-03-23,160.49,161.2514,157.44,157.57,1192534.0,0.0,1.0,160.49,161.2514,157.44,157.57,1192534.0
2018-03-22,163.6,164.04,160.53,160.81,943733.0,0.0,1.0,163.6,164.04,160.53,160.81,943733.0
2018-03-21,166.82,166.97,164.56,164.73,850366.0,0.0,1.0,166.82,166.97,164.56,164.73,850366.0
2018-03-20,166.56,167.37,165.37,166.51,847164.0,0.0,1.0,166.56,167.37,165.37,166.51,847164.0
2018-03-19,167.24,167.75,164.64,166.03,1153308.0,0.0,1.0,167.24,167.75,164.64,166.03,1153308.0
2018-03-16,166.54,168.3,165.92,167.51,1975923.0,0.0,1.0,166.54,168.3,165.92,167.51,1975923.0
2018-03-15,166.84,167.03,165.83,166.45,877349.0,0.0,1.0,166.84,167.03,165.83,166.45,877349.0
2018-03-14,167.75,168.3775,165.84,166.38,734260.0,0.0,1.0,167.75,168.3775,165.84,166.38,734260.0
2018-03-13,168.92,168.92,166.66,167.11,1290072.0,0.0,1.0,168.92,168.92,166.66,167.11,1290072.0
2018-03-12,166.31,168.41,165.82,167.89,1569750.0,0.0,1.0,166.31,168.41,165.82,167.89,1569750.0
2018-03-09,164.36,167.62,163.84,166.41,1676242.0,0.0,1.0,164.36,167.62,163.84,166.41,1676242.0
2018-03-08,163.44,164.62,162.66,163.35,1206268.0,0.0,1.0,163.44,164.62,162.66,163.35,1206268.0
2018-03-07,161.24,163.65,161.11,162.99,1096537.0,0.0,1.0,161.24,163.65,161.11,162.99,1096537.0
2018-03-06,163.25,163.41,161.74,162.73,878450.0,0.0,1.0,163.25,163.41,161.74,162.73,878450.0
2018-03-05,160.0,163.21,159.88,162.54,903004.0,0.0,1.0,160.0,163.21,159.88,162.54,903004.0
2018-03-02,158.3,161.23,158.3,160.8,1108078.0,0.0,1.0,158.3,161.23,158.3,160.8,1108078.0
2018-03-01,161.82,162.09,158.21,159.29,1352385.0,0.0,1.0,161.82,162.09,158.21,159.29,1352385.0
2018-02-28,165.17,165.87,162.1,162.16,1347465.0,0.0,1.0,165.17,165.87,162.1,162.16,1347465.0
2018-02-27,166.09,166.76,164.12,164.12,1199322.0,0.0,1.0,166.09,166.76,164.12,164.12,1199322.0
2018-02-26,163.15,165.975,162.95,165.77,1769131.0,0.0,1.0,163.15,165.975,162.95,165.77,1769131.0
2018-02-23,159.64,161.75,158.89,161.7,953249.0,0.0,1.0,159.64,161.75,158.89,161.7,953249.0
2018-02-22,158.84,160.53,158.18,158.96,807652.0,0.0,1.0,158.84,160.53,158.18,158.96,807652.0
2018-02-21,158.79,160.71,157.77,157.88,1421710.0,0.0,1.0,158.79,160.71,157.77,157.88,1421710.0
2018-02-20,159.14,159.9217,157.77,158.74,1105131.0,0.0,1.0,159.14,159.9217,157.77,158.74,1105131.0
2018-02-16,158.23,161.31,158.1801,159.87,1064552.0,0.0,1.0,158.23,161.31,158.1801,159.87,1064552.0
2018-02-15,157.41,158.59,156.13,158.54,1149466.0,0.0,1.0,157.41,158.59,156.13,158.54,1149466.0
2018-02-14,153.7,156.78,153.33,156.24,1790634.0,0.0,1.0,153.7,156.78,153.33,156.24,1790634.0
2018-02-13,152.61,155.01,152.3,154.56,915293.0,0.0,1.0,152.61,155.01,152.3,154.56,915293.0
2018-02-12,152.5,154.77,152.02,153.66,1566150.0,0.0,1.0,152.5,154.77,152.02,153.66,1566150.0
2018-02-09,149.27,152.482,146.8,151.22,1544943.0,0.0,1.0,149.27,152.482,146.8,151.22,1544943.0
2018-02-08,153.67,154.36,147.92,148.01,1625777.0,0.0,1.0,153.67,154.36,147.92,148.01,1625777.0
2018-02-07,153.6,156.76,153.27,153.67,1604138.0,0.0,1.0,153.6,156.76,153.27,153.67,1604138.0
2018-02-06,150.71,155.43,150.33,154.14,2726058.0,0.0,1.0,150.71,155.43,150.33,154.14,2726058.0
2018-02-05,161.45,162.67,152.01,154.4,2520390.0,0.0,1.0,161.45,162.67,152.01,154.4,2520390.0
2018-02-02,163.81,164.54,162.04,162.25,1235589.0,0.0,1.0,163.81,164.54,162.04,162.25,1235589.0
2018-02-01,163.85,165.27,163.29,164.78,1495465.0,0.0,1.0,163.85,165.27,163.29,164.78,1495465.0
2018-01-31,168.11,168.11,163.45,164.38,2826675.0,0.0,1.0,168.11,168.11,163.45,164.38,2826675.0
2018-01-30,167.48,168.635,166.31,168.45,2150385.0,0.0,1.0,167.48,168.635,166.31,168.45,2150385.0
2018-01-29,168.78,170.0,168.3,168.75,1520691.0,0.0,1.0,168.78,170.0,168.3,168.75,1520691.0
2018-01-26,165.65,169.01,165.29,168.91,1276446.0,0.0,1.0,165.65,169.01,165.29,168.91,1276446.0
2018-01-25,165.16,165.71,164.23,165.55,1009505.0,0.0,1.0,165.16,165.71,164.23,165.55,1009505.0
2018-01-24,162.84,164.98,162.63,164.49,1320674.0,0.0,1.0,162.84,164.98,162.63,164.49,1320674.0
2018-01-23,162.58,163.65,161.74,161.94,1063982.0,0.0,1.0,162.58,163.65,161.74,161.94,1063982.0
2018-01-22,161.3,162.66,160.63,162.52,1301196.0,0.0,1.0,161.3,162.66,160.63,162.52,1301196.0
2018-01-19,161.02,161.84,160.3,161.28,1181670.0,0.0,1.0,161.02,161.84,160.3,161.28,1181670.0
2018-01-18,160.09,160.82,159.94,160.28,1297275.0,0.0,1.0,160.09,160.82,159.94,160.28,1297275.0
2018-01-17,160.0,160.46,159.05,160.27,1287901.0,0.0,1.0,160.0,160.46,159.05,160.27,1287901.0
2018-01-16,159.36,160.9,158.845,159.47,1353279.0,0.0,1.0,159.36,160.9,158.845,159.47,1353279.0
2018-01-12,159.0,161.75,158.03,158.23,1121311.0,0.0,1.0,159.0,161.75,158.03,158.23,1121311.0
