Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,158.74,162.75,156.4,160.64,735030.0,0.0,1.0,158.74,162.75,156.4,160.64,735030.0
2018-03-26,159.09,159.59,157.5876,158.83,544975.0,0.0,1.0,159.09,159.59,157.5876,158.83,544975.0
2018-03-23,160.3,160.93,157.6295,158.01,790966.0,0.0,1.0,160.3,160.93,157.6295,158.01,790966.0
2018-03-22,162.53,164.23,159.96,160.26,1064522.0,0.0,1.0,162.53,164.23,159.96,160.26,1064522.0
2018-03-21,164.27,165.7247,162.63,163.24,673068.0,0.0,1.0,164.27,165.7247,162.63,163.24,673068.0
2018-03-20,164.95,166.15,163.56,164.31,1085498.0,0.0,1.0,164.95,166.15,163.56,164.31,1085498.0
2018-03-19,165.58,165.63,163.8,165.09,825412.0,0.0,1.0,165.58,165.63,163.8,165.09,825412.0
2018-03-16,164.03,166.02,163.38,165.75,1425127.0,0.0,1.0,164.03,166.02,163.38,165.75,1425127.0
2018-03-15,163.22,164.14,162.77,163.67,877792.0,0.0,1.0,163.22,164.14,162.77,163.67,877792.0
2018-03-14,161.84,163.49,161.63,163.47,794757.0,0.0,1.0,161.84,163.49,161.63,163.47,794757.0
2018-03-13,162.46,162.97,161.1,161.52,589236.0,0.0,1.0,162.46,162.97,161.1,161.52,589236.0
2018-03-12,161.06,161.995,160.26,161.54,730229.0,0.0,1.0,161.06,161.995,160.26,161.54,730229.0
2018-03-09,159.61,161.42,158.82,161.42,632709.0,0.0,1.0,159.61,161.42,158.82,161.42,632709.0
2018-03-08,158.24,159.62,157.43,159.5,671550.0,0.0,1.0,158.24,159.62,157.43,159.5,671550.0
2018-03-07,155.79,158.63,155.52,158.11,914690.0,0.0,1.0,155.79,158.63,155.52,158.11,914690.0
2018-03-06,156.03,156.585,153.71,155.96,853881.0,0.0,1.0,156.03,156.585,153.71,155.96,853881.0
2018-03-05,153.09,156.74,152.65,156.08,1094278.0,0.0,1.0,153.09,156.74,152.65,156.08,1094278.0
2018-03-02,154.9,155.58,152.92,153.9,902766.0,0.0,1.0,154.9,155.58,152.92,153.9,902766.0
2018-03-01,155.18,157.91,154.15,155.05,1268132.0,0.0,1.0,155.18,157.91,154.15,155.05,1268132.0
2018-02-28,156.08,157.4,155.45,156.02,1391648.0,0.0,1.0,156.08,157.4,155.45,156.02,1391648.0
2018-02-27,159.66,160.11,155.705,156.08,909354.0,0.0,1.0,159.66,160.11,155.705,156.08,909354.0
2018-02-26,160.42,160.72,158.97,160.15,557818.0,0.0,1.0,160.42,160.72,158.97,160.15,557818.0
2018-02-23,157.93,160.1,156.97,160.01,514555.0,0.0,1.0,157.93,160.1,156.97,160.01,514555.0
2018-02-22,156.66,158.14,156.45,157.12,884176.0,0.0,1.0,156.66,158.14,156.45,157.12,884176.0
2018-02-21,159.92,160.67,155.735,156.02,967739.0,0.0,1.0,159.92,160.67,155.735,156.02,967739.0
2018-02-20,161.92,163.65,160.33,160.42,893153.0,0.0,1.0,161.92,163.65,160.33,160.42,893153.0
2018-02-16,161.34,163.0,160.51,162.57,869107.0,0.0,1.0,161.34,163.0,160.51,162.57,869107.0
2018-02-15,159.57,161.6199,159.18,161.1,732762.0,0.0,1.0,159.57,161.6199,159.18,161.1,732762.0
2018-02-14,157.95,159.07,157.25,158.92,826028.0,0.0,1.0,157.95,159.07,157.25,158.92,826028.0
2018-02-13,157.77,160.32,157.64,159.4,1106803.0,0.0,1.0,157.77,160.32,157.64,159.4,1106803.0
2018-02-12,160.02,160.67,155.74,158.75,1361596.0,0.0,1.0,160.02,160.67,155.74,158.75,1361596.0
2018-02-09,156.0,160.69,154.935,159.61,1304906.0,0.0,1.0,156.0,160.69,154.935,159.61,1304906.0
2018-02-08,158.52,161.2,154.82,154.94,1424758.0,0.0,1.0,158.52,161.2,154.82,154.94,1424758.0
2018-02-07,159.84,162.52,158.21,158.28,1112955.0,0.0,1.0,159.84,162.52,158.21,158.28,1112955.0
2018-02-06,157.41,161.36,156.01,160.25,1826775.0,0.0,1.0,157.41,161.36,156.01,160.25,1826775.0
2018-02-05,163.88,165.67,158.82,159.02,1465312.0,0.0,1.0,163.88,165.67,158.82,159.02,1465312.0
2018-02-02,158.68,164.53,158.68,163.96,1740189.0,0.0,1.0,158.68,164.53,158.68,163.96,1740189.0
2018-02-01,169.91,171.82,163.8,164.11,1403666.0,0.0,1.0,169.91,171.82,163.8,164.11,1403666.0
2018-01-31,166.78,170.42,166.21,170.4,1178008.0,0.0,1.0,166.78,170.42,166.21,170.4,1178008.0
2018-01-30,167.96,168.692,166.845,166.87,553756.0,0.0,1.0,167.96,168.692,166.845,166.87,553756.0
2018-01-29,169.54,169.59,167.82,168.25,381278.0,0.0,1.0,169.54,169.59,167.82,168.25,381278.0
2018-01-26,170.72,170.72,168.375,170.09,537528.0,0.0,1.0,170.72,170.72,168.375,170.09,537528.0
2018-01-25,171.82,172.32,168.65,170.18,682848.0,0.0,1.0,171.82,172.32,168.65,170.18,682848.0
2018-01-24,172.58,173.02,171.3,171.8,563184.0,0.0,1.0,172.58,173.02,171.3,171.8,563184.0
2018-01-23,170.5,172.74,170.48,172.69,751463.0,0.0,1.0,170.5,172.74,170.48,172.69,751463.0
2018-01-22,168.67,170.19,168.24,170.1,599776.0,0.0,1.0,168.67,170.19,168.24,170.1,599776.0
